airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,cleaned_review
Turkish Airlines,7.0,Christopher Hackley,8th May 2019,"âœ… Trip Verified | London to Izmir via Istanbul. First time Iâ€™d flown TK. I found them very good in the air, cabin crew, planes, food, all very nice. Not so great on the ground, ground staff, call centre, computer systems. My flight from LHR was delayed so I missed the connection in Istanbul. Most ground staff donâ€™t speak English, and I was given contradictory instructions from those that could speak a little English. I eventually got on a flight to Izmir three hours later, but it wasnâ€™t an easy process, made worse by the vast distances one has to walk between gates in the cavernous new airport. Also, Iâ€™d phoned a TK call centre (based in Ukraine) to pay an extra Â£40 or so each way for extra leg room seats. However, as the departure times kept changing, my seats kept changing, and for the return leg to London from Istanbul I was not given an extra leg room seat. Luckily there was a spare exit row seat and the cabin crew sorted me out. Overall, I think their cabin crew and planes are very good, ground staff and call centre staff need better training and they all need better computer systems and software to work with.",,Business,Economy Class,London to Izmir via Istanbul,2019-05-01 00:00:00,4.0,5.0,4.0,4.0,2.0,4.0,yes,london to izmir via istanbul first time id flown tk i found them very good in the air cabin crew planes food all very nice not so great on the ground ground staff call centre computer systems my flight from lhr was delayed so i missed the connection in istanbul most ground staff dont speak english and i was given contradictory instructions from those that could speak a little english i eventually got on a flight to izmir three hours later but it wasnt an easy process made worse by the vast distances one has to walk between gates in the cavernous new airport also id phoned a tk call centre based in ukraine to pay an extra or so each way for extra leg room seats however as the departure times kept changing my seats kept changing and for the return leg to london from istanbul i was not given an extra leg room seat luckily there was a spare exit row seat and the cabin crew sorted me out overall i think their cabin crew and planes are very good ground staff and call centre staff need better training and they all need better computer systems and software to work with
Turkish Airlines,2.0,Adriana Pisoi,7th May 2019,"âœ… Trip Verified | Istanbul to Bucharest. We make our check in in the airport, they Take our luggage , we go to the gate and at the gate surprise they dont let uÈ™ board with two children, because they say the flight is overbooked. We had to wait in the airport with two children until 5 oclock in the morning until they bring uÈ™ to a hotel 2 hours far away from the airport without luggage, without eat without nothing. Our first and last flight with this airline.",,Family Leisure,Economy Class,Istanbul to Bucharest,2019-05-01 00:00:00,4.0,1.0,1.0,1.0,1.0,1.0,no,istanbul to bucharest we make our check in in the airport they take our luggage we go to the gate and at the gate surprise they dont let u board with two children because they say the flight is overbooked we had to wait in the airport with two children until oclock in the morning until they bring u to a hotel hours far away from the airport without luggage without eat without nothing our first and last flight with this airline
Turkish Airlines,3.0,M Galerko,7th May 2019,"âœ… Trip Verified | Rome to Prishtina via Istanbul. I flew with this company several times in the past years, and I can honestly say that it is getting worse and worse. I flew from Rome to Prishtina via Istanbul, all 4 flights had a delay (which apparently is pretty normal with Turkish). The ground staff is for the most part useless. In Istambul i have tried to ask a few information about a flight delay (i had just 30 minutes before the connecting flight) and the whole answer was: ""Relax Sir, No problem Sir, It's okay"". The new airport is a gigantic mess, very big and disorganized. When you land in Istanbul it takes about 20 to 25 minutes taxiing and other 10 minutes before they actually start disembarking, it's an exhausting experience especially if you are in a hurry. Forget about asking for some indication at the new airport, they all chat between each other, some with a coffee in their hands. I flew with four different aircraft on this trip, two were fairly new, the other two were old, seats worn. Food on board was of very poor quality.., let me repeat this, very...poor quality. In general i can say that crew is decently trained and deliver a good experience or at least they try, of course it is far from the experience you get flying Qatar or Emirates but still pretty good, while ground personnel, especially in Istanbul is the personification of the word Lazy. A complete disaster. I will try and avoid Turkish Airlines in the future, it is not a cheap company and definitely not worth for the money you pay. If you are in a hurry or you know you will be avoid this company and avoid the new istanbul airport at all costs.",,Business,Economy Class,Rome to Prishtina via Istanbul,2019-05-01 00:00:00,1.0,4.0,1.0,3.0,1.0,2.0,no,rome to prishtina via istanbul i flew with this company several times in the past years and i can honestly say that it is getting worse and worse i flew from rome to prishtina via istanbul all flights had a delay which apparently is pretty normal with turkish the ground staff is for the most part useless in istambul i have tried to ask a few information about a flight delay i had just minutes before the connecting flight and the whole answer was relax sir no problem sir its okay the new airport is a gigantic mess very big and disorganized when you land in istanbul it takes about to minutes taxiing and other minutes before they actually start disembarking its an exhausting experience especially if you are in a hurry forget about asking for some indication at the new airport they all chat between each other some with a coffee in their hands i flew with four different aircraft on this trip two were fairly new the other two were old seats worn food on board was of very poor quality let me repeat this verypoor quality in general i can say that crew is decently trained and deliver a good experience or at least they try of course it is far from the experience you get flying qatar or emirates but still pretty good while ground personnel especially in istanbul is the personification of the word lazy a complete disaster i will try and avoid turkish airlines in the future it is not a cheap company and definitely not worth for the money you pay if you are in a hurry or you know you will be avoid this company and avoid the new istanbul airport at all costs
Turkish Airlines,10.0,Zeshan Shah,6th May 2019,"âœ… Trip Verified | Flew on Turkish Airlines IAD-IST-KHI and return KHI-IST-IAD. Turkish Airlines has consistently maintained its quality since I first flew with them in 2007. The flights leave on time, the catering is excellent, the inflight entertainment is extensive and the interface easy to use, and the cabin crew is excellent. Interesting though the A330 on the KHI-IST route and return seemed to have more leg room and was newer than the A330 on the IAD-IST route which was showing its age. The A330 on the IAD-IST route had a slow responding interface for the inflight entertainment and a broken table on the return flight. But Turkish Airlines will be replacing the A330 on its flight to IAD with the 787 sometime in the summer. Turkish food was served on the return leg which I personally like, and I saw the cabin staff helping elderly passengers walk to the lavatory which was nice. Overall another wonderful experience with Turkish Airlines.",A330,Solo Leisure,Economy Class,Washington Dulles to Karachi,April 2019,4.0,5.0,5.0,5.0,5.0,5.0,yes,flew on turkish airlines iad-ist-khi and return khi-ist-iad turkish airlines has consistently maintained its quality since i first flew with them in the flights leave on time the catering is excellent the inflight entertainment is extensive and the interface easy to use and the cabin crew is excellent interesting though the a on the khi-ist route and return seemed to have more leg room and was newer than the a on the iad-ist route which was showing its age the a on the iad-ist route had a slow responding interface for the inflight entertainment and a broken table on the return flight but turkish airlines will be replacing the a on its flight to iad with the sometime in the summer turkish food was served on the return leg which i personally like and i saw the cabin staff helping elderly passengers walk to the lavatory which was nice overall another wonderful experience with turkish airlines
Turkish Airlines,1.0,Pooja Jain,6th May 2019,"âœ… Trip Verified | Mumbai to Dublin via Istanbul. Never book Turkish airlines if you are traveling to Dublin from Mumbai. If the flight gets delay from Mumbai, they don't have any other options for you. They will straight forward ask you to stay in hotel in Istanbul. They do not care for any for your time loss. No decisions has been made from airlines crew within time. They kept me waiting for more than 3 hours.",,Solo Leisure,Economy Class,Mumbai to Dublin via Istanbul,2019-05-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,no,mumbai to dublin via istanbul never book turkish airlines if you are traveling to dublin from mumbai if the flight gets delay from mumbai they dont have any other options for you they will straight forward ask you to stay in hotel in istanbul they do not care for any for your time loss no decisions has been made from airlines crew within time they kept me waiting for more than hours
Turkish Airlines,2.0,M Shaw,5th May 2019,"âœ… Trip Verified | Istanbul to Budapest via Dublin with Turkish Airlines. Delays on each flight for both legs of the journey - stuck in Istanbul for almost 20 hours with ground staff who were rude, slow or unhelpful and took an hour to get our bags. The only only thing positive I can say is that the food on the plane is good, everything else was disastrous.",,Couple Leisure,Economy Class,Istanbul to Budapest via Dublin,2019-05-01 00:00:00,3.0,3.0,5.0,3.0,1.0,1.0,no,istanbul to budapest via dublin with turkish airlines delays on each flight for both legs of the journey - stuck in istanbul for almost hours with ground staff who were rude slow or unhelpful and took an hour to get our bags the only only thing positive i can say is that the food on the plane is good everything else was disastrous
Turkish Airlines,1.0,J Dalwen,2nd May 2019,"âœ… Trip Verified | Istanbul to Algiers, planned to take off at 9:30 pm and to arrive to Algiers at 11:20 pm same night. We got an announcement that the flight is delayed by 2:55 hours due to technical issue. Then after boarding around midnight, and after starting taxiing, the pilot announced that the issue is still there and we have to go back to the gate! Another delay announced! Furthermore, they did not allow the passengers to get off the plane! complete chaos since the passengers do not want to take this aircraft anymore (and I completely understand) and what worsen the situation is that neither the pilot nor any official came to us and explained what is going on. No explanation, no apology, nothing! they requested the police and we saw armed civilian men at the gate . We did not take off until 6:30 am (that's a total delay of more than 9 hours!) Due to this delay, I lost my full working day in Algiers on April 15 due to the resulting inconvenience and fatigue (I am a consultant and I had several meeting planned for that day). I will never take Turkish Airlines again.",,Business,Business Class,Istanbul to Algiers,April 2019,2.0,2.0,,3.0,1.0,1.0,no,istanbul to algiers planned to take off at pm and to arrive to algiers at pm same night we got an announcement that the flight is delayed by hours due to technical issue then after boarding around midnight and after starting taxiing the pilot announced that the issue is still there and we have to go back to the gate! another delay announced! furthermore they did not allow the passengers to get off the plane! complete chaos since the passengers do not want to take this aircraft anymore and i completely understand and what worsen the situation is that neither the pilot nor any official came to us and explained what is going on no explanation no apology nothing! they requested the police and we saw armed civilian men at the gate we did not take off until am thats a total delay of more than hours! due to this delay i lost my full working day in algiers on april due to the resulting inconvenience and fatigue i am a consultant and i had several meeting planned for that day i will never take turkish airlines again
Turkish Airlines,2.0,S Gonser,29th April 2019,"âœ… Trip Verified | Basel to Cape Town via Istanbul. When I arrived in Istanbul at 10pm we are informed that TK44 to Cape Town (departure at 1.55am) is delayed 4,5 hours. No reason for this Delay was announced. I received a voucher for Burger King, Sbarro Pizza or Popeys. The staff at the gate were very unfriendly.",Boeing 737-800 / A330-300,Solo Leisure,Economy Class,Basel to Cape Town via Istanbul,April 2019,3.0,3.0,2.0,3.0,1.0,2.0,no,basel to cape town via istanbul when i arrived in istanbul at pm we are informed that tk to cape town departure at am is delayed hours no reason for this delay was announced i received a voucher for burger king sbarro pizza or popeys the staff at the gate were very unfriendly
Turkish Airlines,6.0,Sami Osman,29th April 2019,"Not Verified | Abu Dhabi to Luxembourg via Istanbul. From AUH-IST, as the flight was at 1:30am, the flight was I comfortable due to the small size of the aircraft. The seats were cramped although the leg room was okay-ish. Service started mid way through and the food was okay but nothing great. Staff was mostly friendly. IST-LUX staff was friendlier, aircraft was bit better, the food was of the same standard though. I think it was a decent experience overall but I would prefer a more spacious air craft even if the flight is 4.5 hours from AUH.",A320 / Boeing 737,Solo Leisure,Economy Class,Abu Dhabi to Luxembourg via Istanbul,April 2019,2.0,3.0,3.0,3.0,3.0,3.0,yes,not verified abu dhabi to luxembourg via istanbul from auh-ist as the flight was at am the flight was i comfortable due to the small size of the aircraft the seats were cramped although the leg room was okay-ish service started mid way through and the food was okay but nothing great staff was mostly friendly ist-lux staff was friendlier aircraft was bit better the food was of the same standard though i think it was a decent experience overall but i would prefer a more spacious air craft even if the flight is hours from auh
Turkish Airlines,1.0,Norka Idalia Orlando,28th April 2019,"âœ… Trip Verified | The experience with Turkish Airlines has been devastating one. First paid $200 Euros per luggage, totaling $400 Euros for 2 luggage that end up lost between Turkish Airlines and JetBlue. My itinerary was from Venice to Istanbul to Boston and from there with Jetblue to San Juan, Puerto Rico. Once I made it to Boston I looked for my luggage and it never made it to BOS. I immediately try to make a reclamation to Turkish Airlines at BOS and was told that I had to wait until my final destination. Once I made it to my final destination I made my claim. Turkish Airlines will not cooperate with Jetblue and even if JB was really trying to help is not much they could do because TATurkish Airlines did not care for my luggage. It never made to Boston. Turkish Airlines have been unhelpful. In my case, even presenting evidence to both airlines, neither is able to find my lost claim luggage. It seems the claim is a form which after being submitted it get to be submitted evidence, dead word, as they do not even comply with the search of the lost not delivered luggage in hands of Turkish Airlines.",A320 / A330,Solo Leisure,Economy Class,Venice to Boston via Istanbul,February 2019,1.0,1.0,1.0,1.0,1.0,1.0,no,the experience with turkish airlines has been devastating one first paid euros per luggage totaling euros for luggage that end up lost between turkish airlines and jetblue my itinerary was from venice to istanbul to boston and from there with jetblue to san juan puerto rico once i made it to boston i looked for my luggage and it never made it to bos i immediately try to make a reclamation to turkish airlines at bos and was told that i had to wait until my final destination once i made it to my final destination i made my claim turkish airlines will not cooperate with jetblue and even if jb was really trying to help is not much they could do because taturkish airlines did not care for my luggage it never made to boston turkish airlines have been unhelpful in my case even presenting evidence to both airlines neither is able to find my lost claim luggage it seems the claim is a form which after being submitted it get to be submitted evidence dead word as they do not even comply with the search of the lost not delivered luggage in hands of turkish airlines
